r,e
1.2144000000000001,25.307791460320004
1.235089655172414,19.514337404471007
1.2557793103448278,14.668129474899615
1.2764689655172414,10.67035692241916
1.2971586206896553,7.432211089530028
1.317848275862069,4.873831465622061
1.338537931034483,2.9233689557149773
1.3592275862068968,1.5161541889829095
1.3799172413793104,0.5939568973844871
1.4006068965517242,0.1043258772988338
1.421296551724138,0.0
1.4419862068965519,0.23838197060103994
1.4626758620689655,0.7810675970831653
1.4833655172413793,1.5934242229996016
1.5040551724137932,2.6442132686352124
1.524744827586207,3.9052513138158247
1.5454344827586208,5.351106268848525
1.5661241379310344,6.958824590328732
1.5868137931034483,8.707686324036331
1.6075034482758621,10.578985091808136
1.628193103448276,12.555830445024185
1.6488827586206898,14.622970295051346
1.6695724137931034,16.766631379781757
1.6902620689655172,18.974375939156744
1.710951724137931,21.234972965030465
1.731641379310345,23.538282553316094
1.7523310344827587,25.875152009757585
1.7730206896551723,28.23731875878002
1.7937103448275864,30.617340699915076
1.8144,33.008500451614964
