r,e
0.8823000000000001,31.24634231122036
0.9029896551724139,24.16498941575992
0.9236793103448276,18.201149502259796
0.9443689655172415,13.249814946364495
0.9650586206896552,9.216310137606342
0.985748275862069,6.015010429517133
1.0064379310344829,3.5682336044555996
1.0271275862068967,1.805274006255786
1.0478172413793103,0.6615639290539548
1.0685068965517242,0.0779391317628324
1.089196551724138,0.0
1.1098862068965518,0.37755588388245087
1.1305758620689654,1.1641459423844935
1.1512655172413793,2.3166305390768684
1.171955172413793,3.7948482196807163
1.192644827586207,5.561333501769695
1.2133344827586208,7.58109046795289
1.2340241379310344,9.821416686754674
1.2547137931034482,12.251771418988938
1.275403448275862,14.8436818006885
1.2960931034482759,17.570679124663002
1.3167827586206897,20.408261963821133
1.3374724137931033,23.33387266731006
1.3581620689655172,26.32688949268777
1.378851724137931,29.368621287721908
1.3995413793103448,32.442303445975995
1.4202310344827587,35.53308927266335
1.4409206896551723,38.62803305633133
1.4616103448275863,41.71606176333444
1.4823,44.78793307999149
